author
Christopher R. Wren
A. Azarbayejani
Trevor Darrell
Alex Pentland
Claudio Castellano
Santo Fortunato
Vittorio Loreto
Jie Wu
Duncan J. Watts
Edmond Awad
Sohan Dsouza
Richard Kim
Jonathan Schulz
Joseph Henrich
Azim Shariff
Jean‐François Bonnefon
Iyad Rahwan
Ricardo Hausmann
César A. Hidalgo
Sebastián Bustos
Michele Coscia
Alexander Simoes
Muhammed A. Yıldırım
Sam Corbett‐Davies
Emma Pierson
Avi Feller
Sharad Goel
Aziz Z. Huq
Jie Wu
Duncan J. Watts
Matthew Salganik
Peter Sheridan Dodds
Duncan J. Watts
Eytan Bakshy
Jake M. Hofman
Winter Mason
Duncan J. Watts
W. Lance Bennett
Alexandra Segerberg
W. Lance Bennett
Alexandra Segerberg
Michael W. Macy
Gerald Marwell
Pamela Oliver
Alexandra Segerberg
W. Lance Bennett
Michael Szell
Renaud Lambiotte
Stefan Thurner
Hugo Barbosa
Marc Barthélemy
Gourab Ghoshal
Charlotte James
Maxime Lenormand
Thomas Louail
Ronaldo Menezes
José J. Ramasco
Filippo Simini
Marcello Tomasini
Markus Schläpfer
Lei Dong
Kevin O’Keeffe
Paolo Santi
Michael Szell
Hadrien Salat
Samuel Anklesaria
Mohammad M. Vazifeh
Carlo Ratti
Geoffrey B. West
Sebastian Stier
Johannes Breuer
Pascal Siegers
Kjerstin Thorson
Damon Centola
Joshua Becker
Devon Brackbill
Andrea Baronchelli
Andrew Reece
Christopher M. Danforth
Petter Holme
Beom Jun Kim
Zhen Wang
Chris T. Bauch
Samit Bhattacharyya
Alberto d’Onofrio
Piero Manfredi
Matjaž Perc
Nicola Perra
Marcel Salathé
Dawei Zhao
Luciano da Fontoura Costa
Osvaldo N. Oliveira
Gonzalo Travieso
Francisco A. Rodrigues
Paulino Ribeiro Villas-Boas
Lucas Antiqueira
Matheus Palhares Viana
Luis E. C. Rocha
Eytan Bakshy
Jake M. Hofman
Winter Mason
Duncan J. Watts
Ricardo Hausmann
César A. Hidalgo
Sebastián Bustos
Michele Coscia
Alexander Simoes
Muhammed A. Yıldırım
Gary King
Jennifer Pan
Margaret E. Roberts
Jukka‐Pekka Onnela
Jari Saramäki
Jörkki Hyvönen
Gábor Szabó
David Lazer
Kimmo Kaski
János Kertész
Albert‐László Barabási
Junming Huang
Alexander J. Gates
Roberta Sinatra
Albert‐László Barabási
Jukka‐Pekka Onnela
Anirban Chakraborti
Kimmo Kaski
János Kertész
Antti Kanto
Margaret E. Roberts
Brandon Stewart
Edoardo M. Airoldi
Sharad Goel
Ashton Anderson
Jake M. Hofman
Duncan J. Watts
David A. Lagnado
Shelley Channon
Andrea Lancichinetti
Mikko Kivelä
Jari Saramäki
Santo Fortunato
Lorenzo Isella
Juliette Stehlé
Alain Barrat
Ciro Cattuto
Jean-François Pinton
Wouter Van den Broeck
Luca Maria Aiello
Alain Barrat
Rossano Schifanella
Ciro Cattuto
Benjamin Markines
Filippo Menczer
Elsa Arcaute
Erez Hatna
Peter Ferguson
Hyejin Youn
Anders Johansson
Michael Batty
Janette Lehmann
Bruno Gonçalves
José J. Ramasco
Ciro Cattuto
Briony Swire‐Thompson
Joseph DeGutis
David Lazer
Junming Huang
Alexander J. Gates
Roberta Sinatra
Albert‐László Barabási
James H. Fowler
Nicholas A. Christakis
Vittoria Colizza
Alain Barrat
Marc Barthélemy
Alessandro Vespignani
Frauke Kreuter
Stanley Presser
Roger Tourangeau
Amit Goyal
Francesco Bonchi
Laks V. S. Lakshmanan
Kevin Lewis
Jason Kaufman
Marco Gonzalez
Andreas Wimmer
Nicholas A. Christakis
Jayson S. Jia
Xin Lü
Yun Yuan
Ge Xu
Jianmin Jia
Nicholas A. Christakis
Lorenzo Isella
Juliette Stehlé
Alain Barrat
Ciro Cattuto
Jean-François Pinton
Wouter Van den Broeck
Aaron Clauset
M. E. J. Newman
Cristopher Moore
J. Ben Schafer
Dan Frankowski
Jon Herlocker
Shilad Sen
Benjamin H. Good
Yves-Alexandre de Montjoye
Aaron Clauset
Aaron Clauset
Aaron Clauset
Samuel Arbesman
Daniel B. Larremore
Laura F. Bringmann
Timon Elmer
Sacha Epskamp
Robert W. Krause
David Schoch
Marieke Wichers
Johanna T. W. Wigman
Evelien Snippe
Edmond Awad
Sohan Dsouza
Richard Kim
Jonathan Schulz
Joseph Henrich
Azim Shariff
Jean‐François Bonnefon
Iyad Rahwan
Jaime A. Moreno
Marisol Osorio
Jaime A. Moreno
Marisol Osorio
Fabrizio Gilardi
Emmanuel Cruz‐Zavala
Jaime A. Moreno
Leonid Fridman
Claudio Castellano
Santo Fortunato
Vittorio Loreto
Mario Luis Small
Li‐Fen Chen
Hong-Yuan Mark Liao
Ming‐Tat Ko
Ja‐Chen Lin
Gwo‐Jong Yu
Sonia Yeh
Sonia Yeh
Jan Lorenz
Heiko Rauhut
Frank Schweitzer
Dirk Helbing
Frank Schweitzer
Giorgio Fagiolo
Didier Sornette
Fernando Vega‐Redondo
Alessandro Vespignani
Dougľas R. White
Martin Hilbert
Cameron Browne
Edward J. Powley
Daniel Whitehouse
Simon M. Lucas
Peter Cowling
Philipp Rohlfshagen
Stephen Tavener
Diego Peŕez-Liebana
Spyridon Samothrakis
Simon Colton
Hugo Barbosa
Marc Barthélemy
Gourab Ghoshal
Charlotte James
Maxime Lenormand
Thomas Louail
Ronaldo Menezes
José J. Ramasco
Filippo Simini
Marcello Tomasini
Thomas Louail
Maxime Lenormand
Oliva G. Cantú Ros
Miguel Picornell
Ricardo Herranz
Moisés Frı́as
José J. Ramasco
Marc Barthélemy
Jian Xie
S. V. Sreenivasan
G. Korniss
W. Zhang
Chjan C. Lim
Bolesław K. Szymański
Janette Lehmann
