author
A. Azarbayejani
Aaron Clauset
Abigail Adams
Adam Berger
Adeline Decuyper
Ahmedin Jemal
Alain Barrat
Alan Bell
Alan Ritter
Alberto d’Onofrio
Albert‐László Barabási
Alessandro Galeazzi
Alessandro Vespignani
Alex Pentland
Alexander J. Gates
Alexander Peysakhovich
Alexander Simoes
Alexandra Segerberg
Amir Goldberg
Amit Goyal
Ana María Villegas
Anders Johansson
Andrea Baronchelli
Andrea Lancichinetti
Andreas Duit
Andreas Wimmer
Andrew McCallum
Andrew Reece
Andrew T. Stephen
Andrew Y. Ng
Angélique O. J. Cramer
Anirban Chakraborti
Anna Dreber
Antoinette Jobert
Antti Kanto
Ashton Anderson
Avi Feller
Azim Shariff
Aziz Z. Huq
Azriel Rosenfeld
Barbara Hope
Beatrice Rammstedt
Benjamin H. Good
Benjamin Markines
Beom Jun Kim
Bingfeng Han
Bobby L. Jones
Bolesław K. Szymański
Brandon J. Schmeichel
Brandon Stewart
Brendan O’Connor
Briony Swire‐Thompson
Brooke Foucault Welles
Bruno Gonçalves
Bryan D. Jones
C. Neil Macrae
Cameron Browne
Cameron S. Carter
Candice L. Odgers
Carlo Ratti
Carlo Strapparava
Cecilia L. Ridgeway
Changfa Xia
Charlotte James
Chiara Poletto
Chjan C. Lim
Chris Callison-Burch
Chris T. Bauch
Christian Breunig
Christian Schneider
Christoffer Green‐Pedersen
Christopher A. Bail
Christopher M. Danforth
Christopher Potts
Christopher R. Wren
Ciro Cattuto
Claudia D. van Borkulo
Claudio Castellano
Courtney D. Corley
Courtney Napoles
Cristopher Moore
Cynthia Girand
César A. Hidalgo
Damon Centola
Dan Frankowski
Dan Jurafsky
Daniel A. McFarland
Daniel B. Larremore
Daniel J. Corsi
Daniel Jurafsky
Daniel S. Nagin
Daniel Whitehouse
David A. Lagnado
David G. Rand
David Kriegman
David Lazer
David McKenzie
David Mimno
David Schoch
Dawei Zhao
Denny Borsboom
Devon Brackbill
Didier Sornette
Diego Peŕez-Liebana
Dirk Helbing
Doug Beeferman
Douglas C. Noll
Dougľas R. White
Drew Fudenberg
Duncan J. Watts
Duygu Balcan
Earl K. Miller
Edmond Awad
Edmund M. Talley
Edoardo M. Airoldi
Edward J. Powley
Eiko I. Fried
Ellie Pavlick
Elsa Arcaute
Emilio Ferrara
Emma Pierson
Emmanuel Cruz‐Zavala
Erez Hatna
Eric‐Jan Wagenmakers
Evelien Snippe
Eytan Bakshy
Fabien Vinckier
Fabrizio Gilardi
Fernando Vega‐Redondo
Filippo Menczer
Filippo Simini
Filippos Exadaktylos
Francesco Bonchi
Francis Tuerlinckx
Francisco A. Rodrigues
Francisco C. Santos
Frank R. Baumgartner
Frank Schweitzer
Franziska Klein
Frauke Kreuter
Freddie Bray
G. Korniss
GW Gerben Dekker
Gary King
Ge Xu
Geoffrey B. West
George E. Newman
Gerald Marwell
Gianmarco De Francisci Morales
Gideon J. Mellenbergh
Giorgio Fagiolo
Giulio Costantini
Gonzalo Travieso
Gordon Kraft‐Todd
Gordon Pennycook
Gourab Ghoshal
Greg Madey
Guillaume Kon Kam King
Gwo‐Jong Yu
Gábor Szabó
Hadrien Salat
Hai Yang
Hajo G. Boomgaarden
Han L. J. van der Maas
Hanna Wallach
Hao Zhang
Heiko Rauhut
Hillel Rapoport
Hong-Yuan Mark Liao
Hongmei Zeng
Hugo Barbosa
Hyejin Youn
Iain Murray
Ivan Savin
Iyad Rahwan
J. Ben Schafer
JM Jan Vleeshouwers
Jaap van Heerden
Jacob Beck
Jaime A. Moreno
Jake M. Hofman
James H. Fowler
James P. Bagrow
Jan Lorenz
Janette Lehmann
Jari Saramäki
Jason Brenier
Jason Kaufman
Jayson S. Jia
Ja‐Chen Lin
Jean Philippe Dubus
Jean-François Pinton
Jean‐François Bonnefon
Jeffrey P. Bigham
Jennifer Pan
Jeroen C.J.M. van den Bergh
Jian Xie
Jianmin Jia
Jie He
Jie Wu
Jiwei Li
Jocelyn E. Finlay
Joe Zhu
Johanna T. W. Wigman
Johannes Breuer
John Lafferty
Jolanda J. Kossakowski
Jon Herlocker
Jonas Ebbesson
Jonathan D. Cohen
Jonathan Schulz
Jorge M. Pacheco
Joseph DeGutis
Joseph Henrich
Joshua Becker
Joshua D. Greene
José J. Ramasco
Joël Foramitti
Juana Castro Santa
Jukka‐Pekka Onnela
Juliette Stehlé
Julián Candia
Junming Huang
János Kertész
Jörkki Hyvönen
Kaoru Tone
Katarina Eckerberg
Kenneth C. Land
Kevin Lewis
Kevin O’Keeffe
Kexin Sun
Kimmo Kaski
Kjerstin Thorson
Kotaro Hara
Kristy Milland
Laks V. S. Lakshmanan
Laura F. Bringmann
Laurent Cohen
Lawrence M. Seiford
Lei Dong
Leonid Fridman
Li Li
Licia Capra
Li‐Fen Chen
Lorenzo Isella
Lourens Waldorp
Luca Maria Aiello
Lucas Antiqueira
Luciano da Fontoura Costa
Luis E. C. Rocha
Lynn Boschloo
Lynn Smith‐Lovin
M. E. J. Newman
Manlio De Domenico
Marc Barthélemy
Marcel Salathé
Marcello Tomasini
Marco Gonzalez
Marco Perugini
Margaret E. Roberts
Mariano Sigman
Marieke Wichers
Mario Luis Small
Marion Fourcade
Marisol Osorio
Mark A. Mintun
