author,display_name,country_code,first_pub_year,citation_count
A. Azarbayejani,A. Azarbayejani,US,1997,4238
Aaron Clauset,Aaron Clauset,"US,CH",2004,9191
Abigail Adams,Abigail Adams,"US,GB",2018,439
Adam Berger,Adam C. Berger,"CN,US",1999,671
Adeline Decuyper,Adeline Decuyper,BE,2014,396
Ahmedin Jemal,Ahmedin Jemal,"US,ET,SS",2016,16221
Alain Barrat,Alain Barrat,"FR,JP,IT,DE,US",2006,4228
Alan Bell,Alan Bell,"CA,FR,GB,PL",2008,628
Alan Ritter,Alan Ritter,"US,JP,MN",2017,789
Alberto d’Onofrio,Alberto d’Onofrio,"IT,FR,GB",2016,859
Albert‐László Barabási,Albert‐László Barabási,"US,AT,MX",2007,4304
Alessandro Galeazzi,Alessandro Galeazzi,"IT,US",2021,1153
Alessandro Vespignani,Alessandro Vespignani,"IT,US,MX,GB",2006,3409
Alex Pentland,Alex Pentland,"US,RU,CH,GB,CN",1997,4238
Alexander J. Gates,Alexander J. Gates,US,2020,1478
Alexander Peysakhovich,Alexander Peysakhovich,"US,IL",2014,722
Alexander Simoes,Alexander Simoes,US,2014,2190
Alexandra Segerberg,Alexandra Segerberg,SE,2011,4000
Amir Goldberg,Amir Goldberg,"US,CH,MX",2015,429
Amit Goyal,Amit Goyal,"CH,IN,US",2010,1008
Ana María Villegas,Ana María Villegas,"US,CO",2002,1560
Anders Johansson,Anders Johansson,"SE,US,GB,CH",2014,386
Andrea Baronchelli,Andrea Baronchelli,"GB,MX,IT",2018,560
Andrea Lancichinetti,Andrea Lancichinetti,"SE,US,IT",2010,265
Andreas Duit,Andreas Duit,"SE,DE",2008,975
Andreas Wimmer,Andreas Wimmer,"US,SG,DE",2008,984
Andrew McCallum,Andrew McCallum,"GB,US,NZ",2011,1239
Andrew Reece,Andrew R. Gehrke,"US,CA",2017,411
Andrew T. Stephen,Andrew T. Stephen,"GB,NL,FR,US,TW",2014,266
Andrew Y. Ng,Andrew Y. Ng,"US,MY,AU,PR",2008,1908
Angélique O. J. Cramer,Angélique O. J. Cramer,NL,2011,4631
Anirban Chakraborti,Anirban Chakraborti,"IN,US,MX,FR",2003,724
Anna Dreber,Anna Dreber,"SE,AT,US,CA,NZ",2009,687
Antoinette Jobert,Antoinette Jobert,"FR,ML",2007,697
Antti Kanto,Antti Kanto,FI,2003,724
Ashton Anderson,Ashton Anderson,"CA,US,GB",2015,581
Avi Feller,Avi Feller,US,2017,1018
Azim Shariff,Azim Shariff,"CA,NO,US,GB",2018,2822
Aziz Z. Huq,Aziz Z. Huq,US,2017,1018
Azriel Rosenfeld,Azriel Rosenfeld,"US,IR,JP,DE,IL",1991,352
Barbara Hope,B. H. Cooper,"US,DK",1991,352
Beatrice Rammstedt,Beatrice Rammstedt,"DE,AT",2006,3603
Benjamin H. Good,Benjamin H. Good,"US,RU",2010,927
Benjamin Markines,Benjamin Markines,"US,IT",2012,418
Beom Jun Kim,Beom‐Jun Kim,"KR,US",2002,1043
Bingfeng Han,Bingfeng Han,CN,2024,524
Bobby L. Jones,Bobby L. Jones,US,2013,695
Bolesław K. Szymański,Bolesław K. Szymański,"US,PL,FR,AU",2011,387
Brandon J. Schmeichel,Brandon J. Schmeichel,"US,IT,PT,DE,NO",2014,840
Brandon Stewart,Brandon Stewart,"US,IL",2016,605
Brendan O’Connor,Brendan O’Connor,"US,IE,AU,JP,MN,GB",2008,1908
Briony Swire‐Thompson,Briony Swire‐Thompson,"US,MX,AU",2020,258
Brooke Foucault Welles,Brooke Foucault Welles,"US,MX",2020,417
Bruno Gonçalves,Bruno Gonçalves,"BR,IT,US,PT,FR",2012,1064
Bryan D. Jones,Bryan D. Jones,"US,SE,IE,GB,FR",2009,453
C. Neil Macrae,C. Neil Macrae,"GB,US,CA",2014,840
Cameron Browne,Cameron Browne,"NL,AU,GB",2012,2707
Cameron S. Carter,Cameron S. Carter,"US,JP",2004,3473
Candice L. Odgers,Candice L. Odgers,"US,CH,CA,GB",2010,2034
Carlo Ratti,Carlo Ratti,"US,IT,IE,SG",2021,281
Carlo Strapparava,Carlo Strapparava,"IT,ES,NL,KR",2006,1768
Cecilia L. Ridgeway,Cecilia L. Ridgeway,US,1999,764
Changfa Xia,Changfa Xia,"CN,US",2017,411
Charlotte James,Charlotte James,GB,2018,1582
Chiara Poletto,Chiara Poletto,"FR,IT,ML,US,BR",2012,300
Chjan C. Lim,Chjan C. Lim,"US,CN,SG",2011,387
Chris Callison-Burch,Chris Callison-Burch,"US,IN",2016,915
Chris T. Bauch,Chris T. Bauch,"CA,US",2016,859
Christian Breunig,Christian Breunig,"DE,CA,US",2009,453
Christian Schneider,Christian Schneider,"DE,CZ,CH",2014,396
Christoffer Green‐Pedersen,Christoffer Green‐Pedersen,"DK,GB,US,DE,NL",2009,453
Christopher A. Bail,Christopher A. Bail,US,2008,463
Christopher M. Danforth,Christopher M. Danforth,US,2017,411
Christopher Potts,Christopher Potts,"US,BR,IL,GB",2016,204
Christopher R. Wren,Christopher R. Wren,"US,JP,FR",1997,4238
Ciro Cattuto,Ciro Cattuto,"IT,US,SS,GB",2010,2752
Claudia D. van Borkulo,Claudia D. van Borkulo,"NL,GB,ES,US",2022,712
Claudio Castellano,Claudio Castellano,"IT,IR,KR,US,HU",2009,7718
Courtney D. Corley,Courtney D. Corley,"US,KR",2006,1173
Courtney Napoles,Courtney Napoles,"US,SK,SE,SG",2016,476
Cristopher Moore,Cristopher Moore,US,2004,6955
Cynthia Girand,Cynthia Girand,US,2008,628
César A. Hidalgo,César A. Hidalgo,"HU,FR,US,GB",2014,2190
Damon Centola,Damon Centola,US,2018,560
Dan Frankowski,Dan Frankowski,US,2007,1958
Dan Jurafsky,Dan Jurafsky,"US,GB,FR,NL,ZA",2008,1417
Daniel A. McFarland,Daniel A. McFarland,US,2015,225
Daniel B. Larremore,Daniel B. Larremore,"US,GB",2015,514
Daniel J. Corsi,Daniel J. Corsi,CA,2012,939
